Field_Season	Date_Collection	Species	Plot	Sex	Weight_grams	Scale_calibrated
2013	7/16/2013	DM	2	F	null	null
2013	7/16/2013	DM	7	M	33	Y
2013	7/16/2013	DM	3	M	null	null
2013	7/16/2013	DM	1	M	null	null
2013	7/18/2013	DM	3	M	40	Y
2013	7/18/2013	DM	7	M	48	Y
2013	7/18/2013	DM	4	F	29	Y
2013	7/18/2013	DM	6	F	37	Y
2013	8/19/2013	DO	8	F	52	Y
2013	10/17/2013	DO	3	F	33	Y
2013	10/17/2013	DO	3	F	50	Y
2013	12/10/2013	DO	9	F	40	Y
2013	12/10/2013	DO	1	M	45	Y
2013	12/11/2013	DO	8	F	41	Y
2013	11/12/2013	DS	9	F	117	Y
2013	11/13/2013	DS	11	F	126	Y
2013	11/13/2013	DS	17	M	132	N
2013	11/13/2013	DS	14	F	113	N
2013	11/13/2013	DS	11	F	122	Y
2013	11/13/2013	DS	4	F	107	Y
2013	11/13/2013	DS	4	F	115	Y
2014	1/9/2014	DM	1	M	40	Y
2014	1/9/2014	DM	1	F	36	Y
2014	3/13/2014	DM	1	F	51	Y
2014	3/13/2014	DM	1	F	44	Y
2014	3/13/2014	DS	1	F	146	Y
2014	1/8/2014	NA	2	null	null	null
2014	1/8/2014	DM	2	M	44	Y
2014	1/8/2014	PF	2	F	7	Y
2014	1/8/2014	DM	2	M	45	Y
2014	1/8/2014	OT	2	null	null	null
2014	1/8/2014	DS	2	M	157	N
2014	1/8/2014	OX	2	null	null	null
2014	2/18/2014	NA	2	M	218	N
2014	2/18/2014	PF	2	F	7	Y
2014	2/18/2014	DM	2	M	52	Y
2015	3/11/2015	PF	3	M	8	Y
2015	4/8/2015	NA	3	F	null	null
2015	5/6/2015	null	3	null	null	null
2015	5/18/2015	NA	3	F	182	Y
2015	6/9/2015	OT	3	F	29	Y
2015	7/8/2015	NA	3	F	115	Y
2015	7/8/2015	NA	3	M	190	Y
1978	1/8/1978	DM	4	F	37	Y
1978	1/8/1978	DM	4	M	null	null
1978	1/8/1978	DM	4	F	48	Y
1978	1/8/1978	DO	4	M	52	Y
1978	1/8/1978	OL	4	M	35	Y